datetime_utc,timestamp,sensor_index,humidity,temperature,pm2.5_alt,pm10.0_atm,pm2.5_corrected
2021-02-01 00:00:00+00:00,1612137600,91721,41.644,27.6,2.3,3.3,3.7894032000000006
2021-03-01 00:00:00+00:00,1614556800,91721,39.902,27.9,2.4,3.428,4.0089936
2021-04-01 00:00:00+00:00,1617235200,91721,39.52,25.2,7.5,11.522,8.762376
2021-05-01 00:00:00+00:00,1619827200,91721,55.962,17.3,7.7,12.274,7.7131856
2021-06-01 00:00:00+00:00,1622505600,91721,59.382,14.4,6.8,12.062,6.7156975999999995
2021-07-01 00:00:00+00:00,1625097600,91721,53.049,14.2,5.9,10.495,6.451236199999999
2021-08-01 00:00:00+00:00,1627776000,91721,49.115,15.9,6.6,10.944,7.4065710000000005
2021-09-01 00:00:00+00:00,1630454400,91721,48.569,18.2,2.9,4.81,3.8697382
2021-10-01 00:00:00+00:00,1633046400,91721,50.04,20.4,3.6,5.882,4.384576
2021-11-01 00:00:00+00:00,1635724800,91721,58.701,20.9,2.5,4.038,2.5630118
2021-12-01 00:00:00+00:00,1638316800,91721,55.564,23.8,2.7,4.233,2.9489631999999997
2022-01-01 00:00:00+00:00,1640995200,91721,58.377,26.2,2.7,4.302,2.6967885999999996
2022-02-01 00:00:00+00:00,1643673600,91721,57.913,25.0,2.7,4.46,2.8258654000000005
2022-03-01 00:00:00+00:00,1646092800,91721,58.499,24.8,2.5,3.902,2.5188542000000003
2022-04-01 00:00:00+00:00,1648771200,91721,54.597,23.0,3.4,5.55,3.7677525999999997
2022-05-01 00:00:00+00:00,1651363200,91721,54.673,19.6,4.1,6.863,4.4272054
2022-06-01 00:00:00+00:00,1654041600,91721,47.518,15.6,4.3,7.52,5.3874484
2022-07-01 00:00:00+00:00,1656633600,91721,57.454,15.7,4.1,7.098,4.249315200000001
2022-08-01 00:00:00+00:00,1659312000,91721,48.171,17.8,3.0,4.812,3.9443938
2022-09-01 00:00:00+00:00,1661990400,91721,50.821,19.1,2.8,4.422,3.4793778
2022-10-01 00:00:00+00:00,1664582400,91721,50.782,22.2,2.2,3.225,2.893239600000001
2022-11-01 00:00:00+00:00,1667260800,91721,43.64,22.8,2.1,3.185,3.502068
2022-12-01 00:00:00+00:00,1669852800,91721,45.017,24.3,2.6,4.066,3.7928765999999996
2023-01-01 00:00:00+00:00,1672531200,91721,52.987,26.2,2.9,4.538,3.3510946
2023-02-01 00:00:00+00:00,1675209600,91721,47.726,27.8,2.8,4.529,3.764506800000001
2023-03-01 00:00:00+00:00,1677628800,91721,49.075,27.0,3.5,5.648,4.248989
2023-04-01 00:00:00+00:00,1680307200,91721,53.118,21.5,2.7,4.32,3.2365743999999994
2023-05-01 00:00:00+00:00,1682899200,91721,47.197,17.5,4.8,8.402,5.8136206
2023-06-01 00:00:00+00:00,1685577600,91721,47.225,16.6,5.5,9.802,6.602970999999999
2023-07-01 00:00:00+00:00,1688169600,91721,47.226,17.3,6.4,11.328,7.290372800000001
2023-08-01 00:00:00+00:00,1690848000,91721,50.172,18.1,5.6,9.75,6.2876316
2023-09-01 00:00:00+00:00,1693526400,91721,42.082,21.7,12.4,18.616,13.132557600000002
2023-10-01 00:00:00+00:00,1696118400,91721,41.856,23.6,3.7,6.128,5.0698628
2023-11-01 00:00:00+00:00,1698796800,91721,52.318,24.5,2.8,4.357,3.2845744000000003
