datetime_utc,timestamp,sensor_index,humidity,temperature,pm2.5_alt,pm2.5_cf_1,pm10.0_atm
2021-02-01 00:00:00+00:00,1612137600,92367,43.712,27.8,2.3,3.0005,3.23
2021-03-01 00:00:00+00:00,1614556800,92367,42.483,27.9,2.3,3.103,3.331
2021-04-01 00:00:00+00:00,1617235200,92367,41.91,25.1,7.5,12.1955,11.522
2021-05-01 00:00:00+00:00,1619827200,92367,56.544,18.0,7.7,12.97,12.408
2021-06-01 00:00:00+00:00,1622505600,92367,60.103,15.0,6.6,11.5885,12.2
2021-07-01 00:00:00+00:00,1625097600,92367,53.767,14.8,5.6,9.9925,10.583
2021-08-01 00:00:00+00:00,1627776000,92367,49.893,16.5,6.4,11.2265,11.064
2021-09-01 00:00:00+00:00,1630454400,92367,49.34,18.7,2.8,4.1645,4.684
2021-10-01 00:00:00+00:00,1633046400,92367,50.712,21.0,3.5,5.4055,5.778
2021-11-01 00:00:00+00:00,1635724800,92367,57.91,21.7,2.4,3.417,3.871
2021-12-01 00:00:00+00:00,1638316800,92367,55.649,25.7,2.8,4.065,4.646
2022-01-01 00:00:00+00:00,1640995200,92367,59.019,26.6,2.7,3.7895,4.47
2022-02-01 00:00:00+00:00,1643673600,92367,60.623,24.8,2.7,3.882,4.549
2022-03-01 00:00:00+00:00,1646092800,92367,65.254,23.4,2.4,3.3325,3.894
2022-04-01 00:00:00+00:00,1648771200,92367,60.743,21.7,3.3,4.997999999999999,5.438
2022-05-01 00:00:00+00:00,1651363200,92367,60.183,18.5,3.9,6.2145,6.712
2022-06-01 00:00:00+00:00,1654041600,92367,51.882,14.7,4.0,7.0585,7.603
2022-07-01 00:00:00+00:00,1656633600,92367,63.536,14.6,3.8,6.4995,7.195
2022-08-01 00:00:00+00:00,1659312000,92367,53.074,16.6,2.8,4.367,4.8
2022-09-01 00:00:00+00:00,1661990400,92367,55.853,18.0,2.6,3.91,4.433
2022-10-01 00:00:00+00:00,1664582400,92367,56.02,21.0,2.0,2.746,3.144
2022-11-01 00:00:00+00:00,1667260800,92367,47.309,21.9,2.0,2.738,3.103
2022-12-01 00:00:00+00:00,1669852800,92367,49.06,23.2,2.5,3.5625,4.058
2023-01-01 00:00:00+00:00,1672531200,92367,58.007,25.1,2.8,4.058,4.552
2023-02-01 00:00:00+00:00,1675209600,92367,53.114,26.3,2.8,3.9665,4.56
2023-03-01 00:00:00+00:00,1677628800,92367,54.543,25.5,3.4,5.087,5.646
2023-04-01 00:00:00+00:00,1680307200,92367,58.129,20.4,2.6,3.7775,4.253
2023-05-01 00:00:00+00:00,1682899200,92367,51.601,16.5,4.5,7.8385,8.523
2023-06-01 00:00:00+00:00,1685577600,92367,51.818,15.6,5.2,9.4225,10.059
2023-07-01 00:00:00+00:00,1688169600,92367,52.014,16.1,6.0,10.7685,11.597
2023-08-01 00:00:00+00:00,1690848000,92367,55.328,16.9,5.2,9.1775,9.858
2023-09-01 00:00:00+00:00,1693526400,92367,45.865,20.8,11.9,21.7775,19.844
2023-10-01 00:00:00+00:00,1696118400,92367,45.629,21.8,3.2,4.8765,5.561
2023-11-01 00:00:00+00:00,1698796800,92367,56.89,23.6,2.6,3.6555,4.216
